# Per-type review of api.v1 types excluded from the stable binary baseline.
# Evidence columns record direct symbol references, not inferred coverage.
# A type remains non-stable until every release-grade runtime gate is proven.
type	disposition	core_ref	sample_ref	test_ref	doc_ref	rationale
com.stardew.craft.api.v1.communitycenter.StardewCommunityCenterPersistentData	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.communitycenter.StardewCommunityCenterProgress	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.communitycenter.StardewCommunityCenterRewards	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.communitycenter.StardewCommunityCenterVariants	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.content.StardewContentAlias	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.content.StardewContentAliasProvider	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.content.StardewContentAliasSnapshot	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.content.StardewContentCatalogSnapshot	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.content.StardewContentDefinition	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.content.StardewContentIssue	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.content.StardewContentKey	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.content.StardewContentNodeSnapshot	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.content.StardewContentProvider	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.content.StardewContentReference	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.content.StardewContentReferenceProvider	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.content.StardewContentReferenceRoles	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.content.StardewContentReferenceSnapshot	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.content.StardewContentTypes	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.content.StardewContents	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.content.StardewTypedContentReferenceProvider	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.economy.StardewCost	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.economy.StardewCostEntry	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.economy.StardewCosts	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.economy.StardewCurrencies	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.economy.StardewCurrency	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.economy.StardewCurrencyCost	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.economy.StardewCurrencyHandler	keep_experimental	no	yes	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.economy.StardewItemCost	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.economy.StardewPaymentReceipt	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.economy.StardewPaymentResult	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.extension.StardewExtensionFailure	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.extension.StardewExtensionIssue	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.extension.StardewExtensionLifecycle	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.extension.StardewExtensionPointSnapshot	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.extension.StardewExtensionRegistration	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.extension.StardewExtensions	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.extension.StardewStateContainerSnapshot	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.extension.StardewStateDiagnostics	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.extension.StardewStateKeySnapshot	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.extension.StardewStateMigration	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.extension.StardewStateMigrationPreview	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.extension.StardewStateMigrationResult	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmCaveDailyHandlers	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmDailyTasks	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmDebrisPlacements	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmInitializationSteps	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmLayout	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmLayoutAttachment	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmLayoutAttachmentKeys	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmLayoutConfigField	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmLayoutConfiguration	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmLayoutMigrations	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmLayoutPreview	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmLayoutRegistration	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmLayouts	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmLifecycle	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmLifecycleListener	keep_experimental	no	yes	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmPersistentData	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmSelectionOptions	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.farm.StardewFarmSnapshot	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.farm.StardewFarms	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalActivities	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalActivityContext	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalActivityDecision	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalActivityHandler	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalActivityRegistration	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalActivityResult	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalClientSessionSnapshot	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalClientSessions	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalMapOverlay	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalMapOverlays	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalMechanicCapability	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalMechanicContext	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalMechanicHandler	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalMechanicRegistration	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalMechanicSnapshot	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalMechanics	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalParticipantResult	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalParticipants	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalRewardClaimResult	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalRewardContext	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalRewardDecision	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalRewardDescriptor	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalRewardGrant	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalRewardHandler	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalRewardPreparation	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalRewards	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalSessionEvent	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalSessionEventType	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalSessionEvents	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalSessionListener	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalSessionPersistentData	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalSessionSnapshot	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalSessions	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalShopOpenResult	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalShopSnapshot	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.festival.StardewFestivalShops	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.fishing.StardewFishingLocationDisplays	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.fishing.StardewFishingLocationKeys	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.fishing.StardewFishingRule	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.fishing.StardewFishingRuleConditions	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.fishpond.StardewFishPondDailyContext	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.fishpond.StardewFishPondDailyListener	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.fishpond.StardewFishPondEvents	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.fishpond.StardewFishPondRequestContext	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.fishpond.StardewFishPondRequestListener	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.fishpond.StardewFishPondSnapshot	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.fishpond.StardewFishPonds	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.interaction.StardewInteractionHint	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.interaction.StardewInteractionHintContext	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.interaction.StardewInteractionHintDecision	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.interaction.StardewInteractionHintProvider	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.interaction.StardewInteractionHintType	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.interaction.StardewInteractionHints	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.item.StardewAcquisitionContext	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.item.StardewAcquisitionSource	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.item.StardewAcquisitionSourceProvider	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.item.StardewAcquisitionSources	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.item.StardewFoodEffect	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.item.StardewFoodEffectData	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.item.StardewFoodEffects	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.machine.StardewArtisanResolvers	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.machine.StardewMachineCycleContext	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.machine.StardewMachineCycleEvent	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.machine.StardewMachineCycleKind	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.machine.StardewMachineCycles	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.machine.StardewMachineRecipeDisplay	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.machine.StardewMachineRecipeDisplays	keep_experimental	no	yes	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.machine.StardewMachineType	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.machine.StardewMachineTypes	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.machine.StardewProductionContext	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.machine.StardewProductionEvent	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.machine.StardewProductionEvents	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.machine.StardewProductionListener	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.machine.StardewProductionPhase	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.machine.StardewProductionPlan	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.machine.StardewProductionPlanProvider	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.machine.StardewProductionPlans	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.machine.StardewTimedProduction	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.mapinteraction.StardewMapInteractionAction	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.mapinteraction.StardewMapInteractionActionExecutor	keep_experimental	no	yes	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.mapinteraction.StardewMapInteractionActionType	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.mapinteraction.StardewMapInteractionActions	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.mapinteraction.StardewMapInteractionContext	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.mapinteraction.StardewMapInteractionProvider	keep_experimental	no	yes	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.mapinteraction.StardewMapInteractions	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.mining.StardewMineMonsterConfigurator	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.mining.StardewMineMonsterProfile	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.mining.StardewMineMonsterProfileContext	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.mining.StardewMineMonsterProfileProvider	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.mining.StardewMineMonsterProfiles	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.mining.StardewMineMonsterSpawnEntry	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.mining.StardewMineMonsterSpawnTableDefinition	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.network.StardewNetworkCapabilities	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.network.StardewNetworkCapability	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.network.StardewNetworkCapabilityRequirement	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.network.StardewNetworkCapabilitySession	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcContentSnapshot	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcContents	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcDefinition	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcDisplay	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcDisplays	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcEntities	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcFriendshipRewards	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcFriendshipSnapshot	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcGiftTastePatchDefinition	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcGifts	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcLifecycleEvent	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcLifecycleEvents	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcLifecycleListener	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcLifecyclePhase	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcProfile	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcProfiles	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcRuntimeSnapshot	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcSocialContext	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.npc.StardewNpcSocialRules	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.progress.StardewProgress	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.progress.StardewProgressCauses	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.progress.StardewProgressDomains	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.progress.StardewProgressEvent	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.progress.StardewProgressEventType	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.progress.StardewProgressEvents	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.progress.StardewProgressKey	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.progress.StardewProgressListener	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.progress.StardewProgressMetric	keep_experimental	no	yes	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.progress.StardewProgressOperation	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.progress.StardewProgressPhase	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.progress.StardewProgressProvider	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.progress.StardewProgressRequirements	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.progress.StardewProgressScope	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.progress.StardewProgressSnapshot	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.requirement.StardewRequirement	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.requirement.StardewRequirementProvider	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.requirement.StardewRequirementReport	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.requirement.StardewRequirementTypes	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.requirement.StardewRequirements	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.reward.StardewRewardComponent	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
